All,הכל
"Shipping method is not defined for instance purchase.","שיטת משלוח אינה מוגדרת עבור רכישה."
"Specified payment method is not available now.","שיטת התשלום שצוינה אינה זמינה כעת."
"Specified shipping method is not available.","שיטת התשלום שצוינה אינה זמינה כעת."
"Appropriate shipping method is not available.","שיטת המשלוח שצוינה אינה זמינה כעת."
"Cheapest price","המחיר הזול ביותר"
"Instant Purchase","רכישה מיידית"
"Instant Purchase Confirmation","אישור קנייה מיידית"
"Are you sure you want to place order and pay?","האם אתה בטוח שברצונך להזמין ולשלם?"
"Shipping Method","שיטת משלוח"
"Button Text","טקסט הלחצן"
Integrations,אינטגרציות
"Add New Integration","להוסיף אינטגרציה חדשה"
"Save & Activate","שמור והפעל"
"New Integration","אינגרציה חדשה"
"Edit Integration '%1'","לערוך אינטגרציה '%1'"
"Integration Info","מידע עבור האינטגרציה"
"Integration Details","פרטי הטמעה"
"Consumer Key","מפתח הצרכן"
"Uninstall the extension to remove this integration","הסר את ההרחבה על מנת להסיר את האינטגרציה"
Activate,הפעל
Reauthorize,"אימות חוזר"
"The integration '%1' has been saved.","האינטגרציה '%1' נשמרה."
"No permissions requested","אין הרשאות מבוקושת"
"Are you sure you want to delete this integration? You can't undo this action.","האם אתה בטוח שברצונך למחוק שילוב זה? לא ניתן לבטל פעולה זו."
"Available APIs","APIs זמינים"
"Resource Access","גישות משאב"
Resources,משאבים
"Sorry, something went wrong. Please try again later.","מצטערים, משהו השתבש נא נסה שוב מאוחר יותר."
Extensions,תוספים
"Consumer Settings","הגדרות הצרכן"
"Integrations Configuration","הגדרות שילובים"
"Integration configuration file","קובץ הקונפיגורציה של אינטגרציה"
"Integrations API Configuration","הגדרות שילובים API"
Invitations,הזמנות
"Add Invitations","הוספת הזמנות"
"New Invitations","הזמנות חדשות"
"Invitations Information","מידע הזמנות"
"Enter Each Email on New Line","הזן את הדואר אלקטרוני עבטר כל שורה חדשה"
"Invitee Group","קבוצה מוזמנת"
"View Invitation for %1 (ID: %2)","הצג הזמנה עבור %1 (מזהה: %2)"
"Discard Invitation","ביטול הזמנה"
"Are you sure you want to discard this invitation?","האם אתה בטוח שברצונך לבטל את ההזמנה הזו?"
"Save Invitation","שמור הזמנה"
"Send Invitation","שלח הזמנה"
"Status History","היסטוריית סטטוס"
"We can't find this invitation.","איננו מסוגלים למצוא הזמנה זו."
"Please select invitations.","נא לבחור הזמנות."
"We skipped %1 of the selected invitations.","דילגנו על %1 מההזמנות שנבחרו."
"Something went wrong while sending invitations.","משהו השתבש במהלך שליחת ההזמנות."
"You sent %1 of %2 invitation(s).","שלחת %1 מתוך %2 הזמנות."
"General Report","צור דו""ח"
"We can't save this customer.","איננו יכולים לשמור את הלקוח הזה."
"You sent the invitation for %1.","שלחת את ההזמנה עבור %1."
"Send Invitations","שליחת הזמנות"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","נא תקן את הערך עבור \"%1\" פרמטר, אחרת אנחנו נשתמש בערך השמור במקום."
"Available to All","זמין לכולם"
"Invitation Message","הודעת הזמנה"
Link,קישור
"Invite your friends by entering their email addresses","הזמן את החברים שלך על-ידי הזנת כתובות הדואר האלקטרוני שלהם"
"Please use the following link to create an account and view the deals:","אנא השתמש בקישור הבא כדי ליצור חשבון ולהציג את העסקאות:"
"Invited Customers","לקוחות מוזמנים"
Conversion,המרה
Conversions,המרות
"Filterable (with results)","ניתן לסינון (עם תוצאות)"
"Filterable (no results)","ניתן לסינון (ללא תוצאות)"
"Use in Layered Navigation","שימוש בפילטור הניווט"
"Use in Search Results Layered Navigation","השתמש בתוצאות החיפוש בפילטור הניווט"
"Position in Layered Navigation","מיקום בתפריט הפלטור"
"Position of attribute in layered navigation block.","מיקום התכונה בבלוק ניווט השכבות."
item,פריט
items,פריטים
"Now Shopping by","מסנן לפי"
"Layered Navigation","פילטור הניווט"
"Display Product Count","הצגת מונה מוצרים"
"Price Navigation Step Calculation","שלב חישוב המחיר בתפריט הניווט"
"Default Price Navigation Step","שלב ברירת המחדל בתפריט המחיר"
"Maximum Number of Price Intervals","המספר המרבי עבור מרווחי המחיר"
"Maximum number of price intervals is 100","המספר המרבי של מרווחי המחיר הוא 100"
"Display Price Interval as One Price","הצג טווחי מחיר בתור מחיר אחד"
"This setting will be applied when all prices in the specific price interval are equal.","הגדרה זו תחול כאשר כל המחירים במרווח המחירים הספציפי שווים."
"Interval Division Limit","הגבלת חלוקת המרווחים"
"Please specify the number of products, that will not be divided into subintervals.","נא ציין את מספר מוצרים, אשר אינם ניתנים לחילוק בטווחים."
"Admin Actions Log Archive","יומן פעולות מנהל"
"Log Entry #%1","לוג הכניסה #%1"
"Log Entry Details","לוג פרטי הכניסה"
"Source Data","נתוני המקור"
"Value Before Change","ערך לפני שינוי"
"Value After Change","ערך לאחר שינוי"
"No changes","אין שינויים"
"The item was deleted","הפריט נמחק"
"All Users","כל המשתמשים"
"Admin Actions Log","לוג פעולות של מנהל"
"Admin Actions Archive","ארכיון פעולות מנהל"
Report,דוח
"Tax Rates Import","ייבוא שערי מס"
"Cache types: %1 ","סוגי מטמון: %1 "
Success,הצלחה
"This user is locked","משתמש זה נעול"
"Admin User Name","שם משתמש מנהל"
IP-Address,"‏כתובת IP"
"Error Message","הודעת שגיאה"
Logging,רישום
Archive,ארכיון
"Enabled Actions","פעולות מאופשרות"
"Mass Delete","מחיקה המונית"
Move,העברה
"Forgot Password","שכחתי סיסמה"
Reorder,"הזמן מחדש"
Print,הדפסה
Create,יצירה
"Catalog Products","מוצרים בקטלוג"
"URL Rewrites","שכתוב URL"
"Cart Price Rules","כללי סל קניות"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Custom Variables","משתנים מותאמים אישית"
"System Backups","גיבויי המערכת"
"Tax Rules","חוקי מס"
"Tax Rates","שיעורי מס"
"XML Sitemap","מפת אתר XML"
Widget,ווידג'ט
"IP Address","‏כתובת IP"
Partners,שותפים
"Magento Marketplace","מגנטו מרקטפלייס"
"Platinum Partners","שותפי פלטינה"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","דרגת הייצוג של מג'נטו הגבוהה ביותר של שותפות במגנטו, שותפי מגנטו פלטינום הם מוצגים בתור המנהיגים והיוצרים של תוספים בסיסיים, שירותים המיועדים לסייע לסוחרים ומותגים על מנת לייעל את העסק שלהם. מג'נטו שומרת לעצמה את מתן שותפות פלטינום עבור שותפים מוסמכים על כדי להציע אינטגרציות של פ'יצרים בעולם המסחר, פונקציות, כלים, כמו גם מערכות שרת והאופרציות, כדי להרחיב ולשפר את הכוח של פלטפורמת מג'נטו."
"Featured Platinum Partners","שותפי פלטינה נבחרים"
"Partner search","חפש שותף"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","מג'נטו היא מערכת אקולוגית משגשגת של שותפים בטכנולוגיית סוחרים ומותגים הטובים ביותר הנותנים חווית משתמש אופטימלית ללקוח. המותגים והסחורים מזוהים בתור מומחים בתחום מסחר אלקטרוני, חיפוש, דואר אלקטרוני שיווקי, תשלומים, מס, הונאה, אופטימיזציה, ניתוח, הגשמה, ועוד. בקר במאגר שותפי מג'נטו כדי לראות את כל השותפים המאומתים שלנו."
